j              : 34.17397661%
k              : 26.27923977%
space          : 20.55921053%
<BckSp>        : 19.51754386%
s              : 9.33845029%
l              : 8.33333333%
e              : 8.11403509%
<RShft>        : 7.32821637%
t              : 7.23684211%
<LCtrl>        : 7.14546784%
<Right>        : 6.98099415%
<LShft>        : 6.48757310%
i              : 5.92105263%
<Up>           : 5.88450292%
<LAlt>         : 5.86622807%
a              : 5.37280702%
<Down>         : 5.37280702%
ret            : 5.29970760%
<Left>         : 5.00730994%
d              : 4.73318713%
f              : 4.67836257%
h              : 4.58698830%
p              : 4.51388889%
o              : 4.23976608%
n              : 4.03874269%
u              : 4.00219298%
r              : 3.32602339%
c              : 3.08845029%
<Tab>          : 2.90570175%
_              : 2.19298246%
w              : 1.58991228%
m              : 1.49853801%
=              : 1.31578947%
g              : 1.22441520%
y              : 1.00511696%
(              : 0.87719298%
.              : 0.85891813%
x              : 0.84064327%
1              : 0.80409357%
,              : 0.78581871%
[              : 0.76754386%
:              : 0.73099415%
0              : 0.65789474%
q              : 0.65789474%
3              : 0.58479532%
Q              : 0.54824561%
2              : 0.51169591%
<PgDn>         : 0.51169591%
L              : 0.47514620%
b              : 0.47514620%
v              : 0.45687135%
<PgUp>         : 0.43859649%
z              : 0.43859649%
"              : 0.42032164%
)              : 0.34722222%
8              : 0.32894737%
T              : 0.25584795%
'              : 0.25584795%
F              : 0.23757310%
]              : 0.23757310%
-              : 0.21929825%
/              : 0.21929825%
O              : 0.18274854%
J              : 0.16447368%
<E-73>         : 0.16447368%
<F11>          : 0.14619883%
$              : 0.14619883%
H              : 0.14619883%
4              : 0.14619883%
V              : 0.10964912%
<CpsLk>        : 0.10964912%
>              : 0.10964912%
P              : 0.10964912%
*              : 0.10964912%
\              : 0.10964912%
{              : 0.09137427%
X              : 0.09137427%
9              : 0.09137427%
6              : 0.09137427%
+              : 0.07309942%
}              : 0.07309942%
5              : 0.07309942%
^              : 0.07309942%
?              : 0.07309942%
S              : 0.07309942%
<F6>           : 0.07309942%
;              : 0.05482456%
<F3>           : 0.05482456%
<E-72>         : 0.05482456%
#              : 0.03654971%
<Del>          : 0.03654971%
K              : 0.03654971%
!              : 0.03654971%
W              : 0.03654971%
<<i<Left>      : 0.01827485%
A              : 0.01827485%
M              : 0.01827485%
pipe           : 0.01827485%
E              : 0.01827485%
N              : 0.01827485%
U              : 0.01827485%
R              : 0.01827485%
G              : 0.01827485%
Y              : 0.01827485%
Z              : 0.01827485%
<<BckSp>       : 0.01827485%
D              : 0.01827485%
@              : 0.01827485%
B              : 0.01827485%
